#Overview of data in ClinVar by gene, dated November 7, 2021
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
CD28	940	28	28	1	-	186760	3	0
CD2AP	23607	264	219	248	5	604241	96	3
CD2BP2	10421	20	20	-	-	604470	4	0
CD2BP2-DT	101928707	6	6	-	-	-	-	-
CD300A	11314	30	28	-	-	606790	1	0
CD300C	10871	31	29	-	-	606786	1	0
CD300E	342510	30	28	-	-	609801	1	0
CD300H	100130520	12	10	-	-	616560	-	-
CD300LB	124599	30	28	-	-	610705	1	0
CD300LD	100131439	30	28	-	-	616301	1	0
CD300LD-AS1	146723	30	28	-	-	-	1	0
CD300LF	146722	20	20	-	-	609807	1	0
CD300LG	146894	16	16	-	-	610520	6	0
CD302	9936	18	18	-	-	612246	2	0
CD320	51293	119	95	108	-	606475	25	1
CD33	945	39	39	21	-	159590	3	0
CD34	947	21	20	1	-	142230	2	0
CD36	948	203	178	159	35	173510	85	7
CD37	951	15	15	3	-	151523	2	0
CD38	952	49	49	3	-	107270	2	0
CD3D	915	134	109	108	5	186790	45	2
CD3E	916	165	123	139	7	186830	46	4
CD3G	917	129	103	102	6	186740	45	6
CD4	920	68	67	21	2	186940	5	1
CD40	958	106	77	96	5	109535	27	4
CD40LG	959	344	307	158	65	300386	29	5
CD44	960	56	56	32	-	107269	8	0
CD46	4179	171	142	151	17	120920	57	6
CD47	961	17	17	-	-	601028	2	0
CD48	962	16	15	3	-	109530	2	0
CD5	921	13	13	2	-	153340	3	0
CD52	1043	9	9	-	-	114280	2	0
CD53	963	14	14	-	-	151525	-	-
CD55	1604	53	49	32	8	125240	5	0
CD58	965	12	12	1	-	153420	-	-
CD59	966	50	46	23	3	107271	12	0
CD5L	922	12	11	-	-	602592	3	0
CD6	923	12	12	1	-	186720	3	0
CD63	967	13	12	4	-	155740	2	0
CD63-AS1	105369779	2	2	-	-	-	-	-
CD68	968	29	28	7	-	153634	4	0
CD69	969	35	35	1	-	107273	-	-
CD7	924	27	27	-	-	186820	2	0
CD70	970	14	14	3	3	602840	4	0
CD72	971	72	70	-	-	107272	3	0
CD74	972	15	14	-	-	142790	1	0
CD79A	973	101	81	88	4	112205	39	2
CD79B	974	89	80	75	2	147245	24	0
CD80	941	22	22	4	-	112203	4	0
CD81	975	87	76	52	1	186845	13	0
CD81-AS1	101927682	15	15	-	-	-	4	0
CD82	3732	31	31	3	-	600623	11	0
CD83	9308	28	28	1	-	604534	3	0
CD84	8832	13	12	-	-	604513	2	0
CD86	942	20	20	2	-	601020	1	0
CD8A	925	106	98	90	1	186910	45	1
CD8B	926	16	16	-	1	186730	-	-
CD8B2	927	16	16	-	-	-	8	0
CD9	928	52	52	3	2	143030	4	0
CD93	22918	23	23	4	-	120577	-	-
CD96	10225	57	54	39	2	606037	17	1
CD99	4267	111	107	1	-	313470	3	0
CD99	4267	111	107	1	-	450000	3	0
CD99L2	83692	199	194	4	-	300846	8	0
CDA	978	21	21	2	-	123920	4	0
CDADC1	81602	55	55	-	-	618997	5	0
CDAN1	146059	341	236	323	18	607465	118	14
CDC123	8872	29	29	2	-	617708	4	0
CDC14A	8556	148	121	136	12	603504	8	1
CDC14B	8555	41	40	-	2	603505	1	0
CDC14C	168448	8	8	-	-	-	2	0
CDC16	8881	120	120	2	-	603461	13	0
CDC20	991	16	16	2	-	603618	3	0
CDC20-DT	105378687	3	3	-	-	-	-	-
CDC20B	166979	15	15	-	-	-	4	0
CDC23	8697	23	21	2	-	603462	3	0
CDC25A	993	14	13	2	-	116947	4	0
CDC25B	994	38	38	-	-	116949	12	0
CDC25C	995	22	20	1	-	157680	3	0
CDC26	246184	34	33	-	-	614533	2	0
CDC27	996	16	16	2	-	116946	2	0
CDC34	997	34	34	-	-	116948	1	0
CDC37	11140	16	16	3	-	605065	1	0
CDC37L1	55664	162	160	-	-	610346	7	0
CDC37L1-DT	101929351	84	82	-	-	-	-	-
CDC40	51362	26	26	1	1	605585	7	0
CDC42	998	69	42	48	16	116952	10	0
CDC42BPA	8476	48	47	10	1	603412	6	0
CDC42BPB	9578	85	84	31	17	614062	12	0
CDC42BPG	55561	17	17	4	-	613991	4	0
CDC42EP1	11135	34	33	5	-	606084	3	0
CDC42EP2	10435	9	9	1	-	606132	1	0
CDC42EP3	10602	19	19	-	-	606133	2	0
CDC42EP4	23580	16	16	-	-	605468	-	-
CDC42EP5	148170	24	24	-	-	609171	6	0
CDC42SE1	56882	13	12	-	-	619456	1	0
CDC42SE2	56990	20	19	-	1	619457	2	0
CDC45	8318	529	496	122	13	603465	37	1
CDC5L	988	40	40	28	-	602868	3	0
CDC6	990	104	71	93	2	602627	37	5
CDC7	8317	14	14	3	-	603311	5	0
CDC73	79577	1031	703	1007	85	607393	321	14
CDCA2	157313	76	76	4	-	618785	3	0
CDCA3	83461	101	91	-	1	607749	21	0
CDCA4	55038	62	62	-	-	612270	8	0
CDCA5	113130	16	16	7	-	609374	2	0
CDCA7	83879	57	55	34	4	609937	6	0
CDCA7L	55536	128	96	1	10	609685	34	0
CDCA8	55143	10	10	1	-	609977	2	0
CDCP1	64866	11	11	3	1	611735	1	0
CDCP2	200008	15	15	-	-	612320	3	0
CDH1	999	6357	2797	6317	304	192090	1423	107
CDH10	1008	58	58	6	-	604555	9	0
CDH11	1009	55	51	26	5	600023	9	0
CDH12	1010	103	103	22	5	600562	19	0
CDH13	1012	155	149	73	11	601364	31	0
CDH15	1013	205	176	119	2	114019	62	1
CDH16	1014	38	38	4	-	603118	8	0
CDH17	1015	41	41	8	-	603017	2	0
CDH18	1016	99	99	3	2	603019	25	0
CDH18-AS1	102725105	28	28	-	-	-	2	0
CDH19	28513	136	134	3	1	603016	13	0
CDH2	1000	105	88	67	13	114020	4	0
CDH20	28316	77	75	1	-	605807	2	0
CDH22	64405	11	11	2	-	609920	-	-
CDH23	64072	5314	2572	5273	237	605516	811	239
CDH23-AS1	102723377	181	84	-	11	-	22	0
CDH24	64403	22	22	-	-	618599	1	0
CDH26	60437	20	20	-	-	617685	2	0
CDH3	1001	537	406	501	22	114021	197	23
CDH4	1002	57	57	14	4	603006	11	0
CDH5	1003	34	34	3	-	601120	6	0
CDH6	1004	34	34	-	1	603007	6	0
CDH7	1005	148	145	38	-	605806	11	0
CDH8	1006	37	37	9	-	603008	9	0
CDH9	1007	52	52	4	2	609974	9	0
CDHR1	92211	682	495	634	42	609502	251	38
CDHR2	54825	57	56	-	-	-	1	0
CDHR3	222256	23	23	5	-	615610	2	0
CDHR4	389118	11	11	-	-	-	1	0
CDHR5	53841	37	36	2	-	606839	8	0
CDIN1	84529	84	68	62	5	615626	7	1
CDIP1	29965	34	34	-	-	610503	6	0
CDIPT	10423	259	249	-	-	605893	12	0
CDIPTOSP	440356	131	122	-	-	-	1	0
CDK1	983	18	18	1	-	116940	2	0
CDK10	8558	92	86	29	14	603464	25	0
CDK11A	728642	152	150	2	1	116951	13	0
CDK11B	984	143	141	1	-	176873	12	0
CDK12	51755	54	54	21	1	615514	5	0
CDK13	8621	211	171	173	31	603309	31	2
CDK13-DT	112267983	12	12	-	-	-	2	0
CDK14	5218	31	31	2	-	610679	8	0
CDK15	65061	28	28	-	-	616147	4	0
CDK16	5127	169	162	13	-	311550	11	0
CDK17	5128	11	11	1	1	603440	1	0
CDK18	5129	18	17	-	-	169190	2	0
CDK19	23097	41	37	16	9	614720	11	0
CDK2	1017	11	11	1	-	116953	2	0
CDK20	23552	58	56	20	1	610076	5	0
CDK2AP1	8099	28	28	2	-	602198	8	0
CDK2AP2	10263	21	21	3	-	-	5	0
CDK3	1018	19	19	-	-	123828	3	0
CDK4	1019	934	564	918	4	123829	319	23
CDK5	1020	78	77	10	1	123831	6	0
CDK5R1	8851	34	34	3	1	603460	3	0
CDK5R2	8941	24	24	-	1	603764	2	0
CDK5RAP1	51654	13	13	2	-	608200	2	0
CDK5RAP2	55755	639	447	600	34	608201	153	31
CDK5RAP3	80279	10	10	-	-	608202	2	0
CDK6	1021	48	45	32	3	603368	2	1
CDK6-AS1	101927497	4	4	-	-	-	-	-
CDK7	1022	16	16	-	-	601955	4	0
CDK8	1024	42	40	11	9	603184	1	0
CDK9	1025	43	40	2	1	603251	1	0
CDKAL1	54901	39	39	9	1	611259	11	0
CDKL1	8814	18	18	-	-	603441	5	0
CDKL2	8999	20	20	-	-	603442	2	0
CDKL3	51265	23	22	2	-	608459	2	0
CDKL4	344387	31	31	-	-	-	9	0
CDKL5	6792	1844	1250	1292	474	300203	208	41
CDKN1A	1026	24	16	15	-	116899	1	0
CDKN1B	1027	709	507	662	33	600778	275	15
CDKN1C	1028	787	672	755	67	600856	269	8
CDKN2A	1029	1945	964	1825	110	600160	460	85
CDKN2A-DT	51198	44	42	-	1	-	1	0
CDKN2AIP	55602	94	94	1	-	615914	8	0
CDKN2AIPNL	91368	19	18	-	-	-	1	0
CDKN2B	1030	101	98	8	-	600431	8	0
CDKN2B-AS1	100048912	108	105	11	3	613149	8	0
CDKN2C	1031	16	16	2	1	603369	6	0
CDKN2D	1032	17	17	-	-	600927	3	0
CDKN3	1033	15	15	-	-	123832	1	0
CDNF	441549	21	21	2	-	611233	1	0
CDO1	1036	27	26	-	-	603943	2	0
CDON	50937	605	481	533	9	608707	171	4
CDPF1	150383	76	75	-	-	-	7	0
CDR1	1038	192	188	1	1	302650	4	0
CDR2	1039	110	106	-	2	117340	43	0
CDR2-DT	440346	38	34	-	-	-	20	0
CDR2L	30850	18	18	-	-	-	3	0
CDRT1	374286	46	46	2	21	604596	2	0
CDRT15	146822	80	77	-	2	-	4	0
CDRT15L2	256223	24	24	-	-	-	3	0
CDRT15P3	408029	21	21	-	-	-	4	0
CDRT3	94145	35	32	-	-	-	1	0
CDRT4	284040	90	87	-	1	-	5	0
CDRT7	94150	29	26	-	-	-	-	-
CDRT8	94151	30	27	-	-	-	-	-
CDS1	1040	27	27	1	1	603548	2	0
CDS2	8760	30	30	-	-	603549	5	0
CDSN	1041	76	68	66	7	602593	8	0
CDT1	81620	284	207	207	8	605525	41	6
CDV3	55573	18	18	-	-	618789	1	0
CDX1	1044	15	14	1	-	600746	1	0
CDX2	1045	33	33	3	1	600297	2	0
CDX4	1046	132	128	1	-	300025	3	0
CDY1	9085	91	91	-	-	400016	4	0
CDY1B	253175	32	32	-	-	-	1	0
CDY2A	9426	81	80	-	-	400018	8	0
CDY2B	203611	37	36	-	-	-	5	0
CDYL	9425	51	51	1	1	603778	5	0
CDYL-AS1	101927913	28	28	-	-	-	1	0
CDYL2	124359	50	50	2	1	618816	9	0
CEACAM1	634	14	14	3	1	109770	2	0
CEACAM16	388551	168	118	158	7	614591	24	7
CEACAM18	729767	16	16	-	-	-	1	0
CEACAM19	56971	9	9	-	-	606691	2	0
CEACAM20	125931	11	11	-	-	-	3	0
CEACAM21	90273	10	10	-	-	618191	3	0
CEACAM3	1084	19	19	9	-	609142	2	0
CEACAM4	1089	11	11	-	-	619159	3	0
CEACAM5	1048	27	27	18	-	114890	1	0
CEACAM6	4680	13	13	2	-	163980	2	0
CEACAM7	1087	10	10	-	-	619160	2	0
CEACAM8	1088	11	11	-	-	615747	1	0
CEBPA	1050	565	498	551	36	116897	289	3
CEBPA-DT	80054	6	6	-	-	-	1	0
CEBPB	1051	15	15	1	-	189965	1	0
CEBPB-AS1	101927559	6	6	-	-	-	-	-
CEBPD	1052	31	31	-	-	116898	7	0
CEBPE	1053	107	105	85	4	600749	49	0
CEBPG	1054	14	14	-	-	138972	2	0
CEBPZ	10153	22	22	2	-	612828	3	0
CEBPZOS	100505876	5	5	-	-	-	1	0
CECR2	27443	87	84	15	-	607576	3	0
CECR3	27442	77	74	-	-	-	6	0
CECR7	100130418	25	22	-	-	-	1	0
CEL	1056	164	144	111	6	114840	27	0
CELA1	1990	12	12	2	-	130120	2	0
CELA2A	63036	39	36	7	4	609443	3	0
CELA2B	51032	31	31	1	-	609444	3	0
CELA3A	10136	16	16	-	-	618693	6	0
CELA3B	23436	21	21	3	-	618694	7	0
CELF1	10658	13	13	1	-	601074	1	0
CELF2	10659	36	36	5	4	602538	6	0
CELF2-AS1	414196	16	16	-	3	-	2	0
CELF2-AS2	439950	13	13	-	-	-	2	0
CELF2-DT	101928322	12	12	-	-	-	1	0
CELF3	11189	10	9	1	-	612678	2	0
CELF4	56853	59	57	4	2	612679	7	0
CELF5	60680	29	29	2	-	612680	10	0
CELF6	60677	24	23	5	-	612681	3	0
CELSR1	9620	185	180	90	13	604523	27	0
CELSR2	1952	98	98	66	3	604265	14	0
CELSR3	1951	38	37	22	-	604264	6	0
CEMIP	57214	97	90	74	-	608366	6	1
CEMIP2	23670	49	47	6	2	605835	5	0
CEMP1	752014	40	40	-	-	611113	9	0
CENATAC	338657	39	32	1	-	-	4	0
CENATAC-DT	107984396	12	12	-	-	-	-	-
CEND1	51286	35	34	-	-	608213	7	0
CENPA	1058	17	17	-	-	117139	3	0
CENPB	1059	38	38	-	-	117140	12	0
CENPBD1	92806	51	51	-	-	-	15	0
CENPC	1060	27	27	1	-	117141	7	0
CENPE	1062	266	235	249	4	117143	20	2
CENPF	1063	374	297	340	24	600236	47	4
CENPH	64946	17	17	1	-	605607	5	0
CENPI	2491	174	169	5	-	300065	11	0
CENPJ	55835	663	336	620	43	609279	136	20
CENPK	64105	17	17	-	-	611502	4	0
CENPL	91687	38	37	-	-	611503	9	0
CENPM	79019	32	31	-	-	610152	7	0
CENPN	55839	59	59	-	-	611509	17	0
CENPO	79172	24	24	-	-	611504	4	0
CENPP	401541	55	52	3	2	611505	17	0
CENPQ	55166	23	23	-	-	611506	4	0
CENPS	378708	36	36	-	-	609130	6	0
CENPS-CORT	100526739	36	36	-	-	-	6	0
CENPT	80152	42	41	6	2	611510	5	0
CENPU	79682	106	106	2	-	611511	8	0
CENPV	201161	40	40	1	-	608139	11	0
CENPVL1	389857	87	83	-	-	-	2	0
CENPVL2	441495	85	81	-	-	-	1	0
CENPVL3	347549	84	80	-	-	-	1	0
CENPW	387103	17	17	-	-	611264	3	0
CENPX	201254	31	31	-	-	615128	2	0
CEP104	9731	387	343	287	10	616690	33	0
CEP112	201134	24	24	4	5	618980	4	0
CEP120	153241	246	200	216	15	613446	46	1
CEP126	57562	28	28	11	-	614634	1	0
CEP128	145508	61	38	4	1	-	11	0
CEP131	22994	22	22	-	-	613479	-	-
CEP135	9662	213	168	195	12	611423	27	8
CEP152	22995	619	321	591	31	613529	118	27
CEP162	22832	29	29	1	-	610201	12	0
CEP164	22897	578	494	548	20	614848	244	5
CEP170	9859	103	102	3	4	613023	11	0
CEP170B	283638	69	69	4	-	-	9	0
CEP19	84984	143	140	44	1	615586	35	0
CEP192	55125	86	82	7	2	616426	2	0
CEP20	123811	340	338	-	2	617149	151	0
CEP250	11190	511	492	499	16	609689	256	0
CEP250-AS1	102725201	86	84	-	2	-	40	0
CEP290	80184	3222	1517	3158	335	610142	443	93
CEP295	85459	36	36	19	-	617728	3	0
CEP295NL	100653515	6	6	-	1	-	1	0
CEP350	9857	36	35	4	1	617870	3	0
CEP41	95681	378	297	348	12	610523	159	11
CEP43	11116	49	49	1	1	605392	4	0
CEP44	80817	65	65	-	-	-	4	0
CEP55	55165	41	40	21	8	610000	5	0
CEP57	9702	234	212	215	9	607951	126	2
CEP57L1	285753	23	23	3	-	-	-	-
CEP63	80254	189	161	108	10	614724	31	4
CEP68	23177	25	25	10	-	616889	-	-
CEP70	80321	34	34	3	-	614310	12	0
CEP72	55722	159	159	1	-	616475	9	0
CEP72-DT	100996325	69	69	-	-	-	6	0
CEP76	79959	84	80	3	1	-	4	0
CEP78	84131	327	282	277	33	617110	113	3
CEP83	51134	246	226	224	18	615847	92	1
CEP83-DT	144486	3	3	-	-	-	-	-
CEP85	64793	14	14	5	-	618898	2	0
CEP85L	387119	247	160	22	19	618865	76	0
CEP89	84902	23	22	7	1	615470	3	0
CEP95	90799	15	15	-	-	-	2	0
CEP97	79598	16	16	3	1	615864	1	0
CEPT1	10390	16	16	1	-	616751	1	0
CER1	9350	106	104	-	-	603777	3	0
CERCAM	51148	45	43	-	-	616626	2	0
CERK	64781	95	94	3	1	610307	8	0
CERKL	375298	652	423	620	81	608381	127	28
CERNA1	100129973	15	14	-	-	-	-	-
CERNA2	642934	15	15	-	-	617434	3	0
CERNA3	105375847	22	22	-	-	-	-	-
CEROX1	115804232	21	21	-	1	-	3	0
CERS1	10715	297	221	243	20	606919	99	6
CERS2	29956	15	14	4	-	606920	3	0
CERS3	204219	165	159	60	8	615276	23	0
CERS3-AS1	102723320	44	41	-	-	-	4	0
CERS4	79603	12	12	2	-	615334	2	0
CERS5	91012	11	11	2	-	615335	3	0
CERS6	253782	20	20	3	-	615336	-	-
CERS6-AS1	100861402	5	5	-	-	-	-	-
CERT1	10087	80	73	57	8	604677	19	1
CES1	1066	35	34	4	2	114835	6	0
CES2	8824	38	38	2	-	605278	9	0
CES3	23491	38	38	-	-	605279	11	0
CES4A	283848	38	38	-	-	-	11	0
CES5A	221223	20	20	1	-	618678	4	0
CETN1	1068	147	142	-	-	603187	22	0
CETN2	1069	204	200	-	-	300006	13	0
CETN3	1070	29	28	-	-	602907	4	0
CETP	1071	182	141	158	3	118470	19	2
CFAP100	348807	15	15	-	-	-	3	0
CFAP100-DT	100506907	7	7	-	-	-	2	0
CFAP107	93190	44	44	-	-	-	10	0
CFAP119	90835	31	31	-	-	618318	15	0
CFAP126	257177	24	23	-	2	616119	10	0
CFAP141	388701	13	12	-	-	-	2	0
CFAP157	286207	45	42	-	-	-	1	0
CFAP161	161502	22	21	-	-	-	2	0
CFAP20	29105	26	26	-	-	617906	8	0
CFAP206	154313	21	21	1	1	-	5	0
CFAP20DC	200844	32	32	3	-	-	10	0
CFAP20DC-AS1	101929238	10	10	-	-	-	4	0
CFAP210	129881	20	20	-	-	-	3	0
CFAP221	200373	3	3	-	-	618704	-	-
CFAP251	144406	39	35	13	4	618146	8	0
CFAP276	127003	28	28	2	-	618682	9	0
CFAP298	56683	152	122	90	8	615494	35	0
CFAP298-TCP10L	110091775	128	98	-	7	-	32	0
CFAP299	255119	32	32	-	4	-	4	0
CFAP300	85016	28	26	11	7	618058	1	0
CFAP36	112942	14	14	-	-	-	4	0
CFAP410	755	314	266	216	24	603191	74	4
CFAP418	157657	249	156	217	14	614477	71	10
CFAP418-AS1	100616530	67	50	-	7	-	21	0
CFAP43	80217	63	61	41	12	617558	6	1
CFAP44	55779	86	86	58	7	617559	3	0
CFAP44-AS1	100874029	23	23	-	-	-	1	0
CFAP45	25790	14	13	1	-	605152	2	0
CFAP46	54777	105	105	1	1	618543	13	0
CFAP47	286464	164	160	4	5	301057	6	0
CFAP52	146845	61	60	47	1	609804	22	0
CFAP53	220136	106	88	62	6	614759	15	0
CFAP54	144535	10	10	-	-	-	1	0
CFAP57	149465	15	15	1	-	614259	3	0
CFAP58	159686	24	24	5	5	619129	1	0
CFAP58-DT	100505869	5	5	-	-	-	1	0
CFAP61	26074	21	21	-	-	-	1	0
CFAP61-AS1	101929575	6	6	-	-	-	-	-
CFAP65	255101	47	46	22	4	614270	9	0
CFAP69	79846	53	53	18	4	617949	14	0
CFAP70	118491	16	16	1	1	618661	1	0
CFAP73	387885	10	10	-	-	-	1	0
CFAP74	85452	145	143	1	1	-	14	0
CFAP77	389799	37	36	-	-	-	3	0
CFAP91	89876	24	22	4	2	609910	4	0
CFAP92	57501	122	97	-	12	-	17	0
CFAP95	138255	45	44	2	-	-	1	0
CFAP95-DT	494558	21	20	-	-	-	-	-
CFAP97	57587	122	122	4	-	616047	17	0
CFAP97D1	284067	17	17	-	-	-	7	0
CFAP97D2	101929355	51	51	-	-	-	3	0
CFAP99	402160	58	58	-	-	-	2	0
CFB	629	322	110	312	3	138470	33	18
CFC1	55997	46	33	28	3	605194	6	0
CFC1B	653275	18	18	-	-	-	5	0
CFD	1675	81	76	37	3	134350	15	0
CFDP1	10428	46	46	-	1	608108	19	0
CFH	3075	708	288	651	35	134370	84	25
CFHR1	3078	136	127	60	2	134371	11	0
CFHR2	3080	68	65	24	1	600889	5	0
CFHR3	10878	123	107	50	1	605336	8	0
CFHR4	10877	91	81	33	-	605337	6	0
CFHR5	81494	217	149	178	3	608593	64	7
CFI	3426	239	160	225	22	217030	44	5
CFL1	1072	11	11	1	-	601442	2	0
CFL2	1073	149	128	122	5	601443	55	1
CFLAR	8837	32	32	2	2	603599	3	0
CFLAR-AS1	65072	16	16	-	1	-	-	-
CFP	5199	193	174	40	6	300383	7	0
CFTR	1080	7416	2703	7350	954	602421	870	222
CFTR-AS1	111082987	841	277	-	88	-	89	0
CGA	1081	30	30	3	-	118850	10	0
CGAS	115004	13	13	2	-	613973	1	0
CGB1	114335	15	15	-	-	608823	1	0
CGB2	114336	16	16	1	-	608824	1	0
CGB3	1082	14	14	-	-	118860	1	0
CGB5	93659	14	14	2	-	608825	1	0
CGB7	94027	12	12	-	-	608826	1	0
CGB8	94115	12	12	-	-	608827	1	0
CGGBP1	8545	12	12	-	-	603363	2	0
CGN	57530	19	18	8	-	609473	2	0
CGNL1	84952	36	34	8	1	607856	8	1
CGREF1	10669	63	61	-	-	606137	29	0
CGRRF1	10668	16	16	2	1	606138	1	0
CH17-340M24.3	158960	111	107	-	-	-	3	0
CH17-408M7.1	102724558	53	51	-	-	-	-	-
CH25H	9023	17	17	-	-	604551	4	0
CHAC1	79094	11	10	1	-	614587	2	0
CHAC2	494143	12	12	-	-	617446	1	0
CHAD	1101	16	16	5	-	602178	-	-
CHADL	150356	26	25	-	-	616236	6	0
CHAF1A	10036	20	20	2	-	601246	3	0
CHAF1B	8208	67	62	6	2	601245	3	0
CHAMP1	283489	207	185	95	67	616327	29	0
CHASERR	100507217	12	12	-	-	-	-	-
CHAT	1103	677	500	575	36	118490	180	14
CHCHD1	118487	16	16	-	1	608842	2	0
CHCHD10	400916	262	202	158	4	615903	78	1
CHCHD2	51142	56	56	28	4	616244	15	0
CHCHD3	54927	36	36	-	1	613748	5	0
CHCHD4	131474	23	23	1	-	611077	-	-
CHCHD5	84269	10	10	-	-	616978	-	-
CHCHD6	84303	24	24	1	3	615634	4	0
CHCHD7	79145	29	29	-	-	611238	1	0
CHD1	1105	60	57	34	3	602118	25	0
CHD1-DT	102724810	9	9	-	-	-	-	-
CHD1L	9557	398	383	103	1	613039	29	0
CHD2	1106	1519	1126	1445	175	602119	300	42
CHD3	1107	160	114	127	35	602120	41	2
CHD4	1108	177	170	127	35	603277	35	1
CHD5	26038	95	94	41	16	610771	6	0
CHD6	84181	33	33	21	-	616114	3	0
CHD7	55636	2866	1672	2806	463	608892	554	115
CHD8	57680	564	441	508	100	610528	96	13
CHD9	80205	25	25	1	-	616936	4	0
CHDH	55349	16	16	5	1	-	3	0
CHEK1	1111	73	72	12	-	603078	5	0
CHEK2	11200	5641	2584	5598	532	604373	1332	118
CHERP	10523	15	15	-	-	618539	2	0
CHFR	55743	34	34	2	-	605209	7	0
CHFR-DT	101928530	10	10	-	-	-	-	-
CHGA	1113	20	20	-	-	118910	1	0
CHGB	1114	30	30	4	-	118920	3	0
CHI3L1	1116	17	16	3	-	601525	3	0
CHI3L2	1117	19	19	4	-	601526	1	0
CHIA	27159	23	23	9	-	606080	-	-
CHIC1	53344	141	136	3	-	300922	5	0
CHIC2	26511	15	15	-	-	604332	-	-
CHID1	66005	36	35	-	-	615692	9	0
CHIT1	1118	180	123	167	-	600031	65	23
CHKA	1119	12	12	-	-	118491	3	0
CHKA-DT	105369362	3	3	-	-	-	-	-
CHKB	1120	414	331	276	17	612395	97	14
CHKB-CPT1B	386593	348	263	-	17	-	92	0
CHKB-DT	100144603	74	72	-	-	-	4	0
CHL1	10752	204	204	49	5	607416	67	0
CHL1-AS1	101927193	57	57	-	-	-	13	0
CHL1-AS2	101927174	51	51	-	-	-	11	0
CHM	1121	652	551	478	163	300390	52	3
CHML	1122	75	74	-	-	118825	8	0
CHMP1A	5119	188	166	127	4	164010	27	5
CHMP1B	57132	89	85	1	-	606486	6	0
CHMP2A	27243	12	12	-	-	610893	-	-
CHMP2B	25978	197	109	178	6	609512	42	6
CHMP3	51652	14	14	-	-	610052	-	-
CHMP3-AS1	105374845	4	4	-	-	-	-	-
CHMP4A	29082	22	22	-	-	610051	1	0
CHMP4B	128866	33	30	19	2	610897	4	0
CHMP4C	92421	33	33	1	-	610899	6	0
CHMP5	51510	74	72	-	-	610900	7	0
CHMP6	79643	26	26	3	-	610901	3	0
CHMP7	91782	71	71	2	-	611130	2	0
CHN1	1123	121	115	86	13	118423	45	3
CHN2	1124	28	28	1	1	602857	3	0
CHN2-AS1	102724484	7	7	-	-	-	1	0
CHODL	140578	81	76	-	2	607247	9	0
CHODL-AS1	54075	49	44	-	-	-	2	0
CHORDC1	26973	27	27	-	-	604353	6	0
CHP1	11261	12	11	1	1	606988	2	0
CHP2	63928	31	31	-	-	-	4	0
CHPF	79586	26	26	2	-	610405	1	0
CHPF2	54480	70	70	2	-	608037	4	0
CHPT1	56994	168	108	2	7	616747	45	0
CHRAC1	54108	50	50	-	-	607268	4	0
CHRD	8646	55	55	6	-	603475	2	0
CHRDL1	91851	205	195	34	16	300350	8	0
CHRDL2	25884	9	9	-	-	613127	1	0
CHRFAM7A	89832	132	132	1	16	609756	21	0
CHRM1	1128	19	19	6	1	118510	4	0
CHRM2	1129	157	131	120	-	118493	36	1
CHRM3	1131	95	94	20	5	118494	14	0
CHRM3-AS1	100873984	29	29	-	-	-	3	0
CHRM3-AS2	100506915	28	28	-	-	-	2	0
CHRM4	1132	18	18	-	-	118495	5	0
CHRM5	1133	32	31	2	-	118496	11	0
CHRNA1	1134	463	308	426	35	100690	111	19
CHRNA10	57053	26	26	-	-	606372	5	0
CHRNA2	1135	751	533	680	3	118502	246	32
CHRNA3	1136	55	51	33	8	118503	6	0
CHRNA4	1137	1160	720	1100	14	118504	256	61
CHRNA5	1138	40	36	18	-	118505	2	0
CHRNA6	8973	49	49	4	1	606888	4	0
CHRNA7	1139	348	339	51	79	118511	69	0
CHRNA9	55584	21	21	2	-	605116	3	0
CHRNB1	1140	368	277	342	17	100710	109	17
CHRNB2	1141	516	372	432	9	118507	180	12
CHRNB3	1142	47	47	2	-	118508	4	0
CHRNB4	1143	32	31	10	-	118509	3	0
CHRND	1144	535	322	500	22	100720	140	30
CHRNE	1145	899	591	868	98	100725	166	34
CHRNG	1146	388	202	356	24	100730	69	15
CHROMR	101927027	76	51	-	2	-	19	0
CHST1	8534	15	15	-	-	603797	2	0
CHST10	9486	22	22	1	-	606376	6	0
CHST11	50515	20	19	2	-	610128	9	1
CHST12	55501	54	54	2	-	610129	12	0
CHST13	166012	15	15	-	1	610124	3	0
CHST14	113189	171	129	157	20	608429	50	5
CHST15	51363	55	55	4	1	608277	1	0
CHST2	9435	19	19	-	-	603798	3	0
CHST3	9469	759	284	742	19	603799	166	14
CHST4	10164	36	36	-	1	-	9	0
CHST5	23563	62	62	4	-	604817	19	0
CHST6	4166	296	264	250	14	605294	148	4
CHST7	56548	173	169	2	-	300375	12	0
CHST8	64377	26	23	9	-	610190	2	1
CHST9	83539	43	41	1	-	610191	3	0
CHSY1	22856	250	199	156	8	608183	44	4
CHSY3	337876	21	20	-	2	609963	2	0
CHTF18	63922	88	87	12	-	613201	12	0
CHTF8	54921	30	30	-	-	613202	7	0
CHTOP	26097	14	13	-	-	614206	5	0
CHUK	1147	66	65	49	3	600664	6	0
CHURC1	91612	15	15	2	-	608577	-	-
CHURC1-FNTB	100529261	19	19	-	-	-	1	0
CIAO1	9391	56	56	-	-	604333	29	0
CIAO2A	84191	12	11	-	-	618382	1	0
